0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,5
65,7
66,9
67,11
68,13
69,15
70,17
71,18
72,20
73,22
74,24
75,26
76,28
77,30
78,32
79,34
80,12
81,14
82,16
83,18
84,20
85,22
86,24
87,25
88,27
89,29
90,31
91,33
92,35
93,37
94,39
95,41
96,31
97,33
98,35
99,37
100,39
101,41
102,43
103,44
104,46
105,48
106,50
107,52
108,54
109,56
110,58
111,60
112,69
113,71
114,73
115,75
116,77
117,79
118,81
119,82
120,84
121,86
122,88
123,90
124,92
125,94
126,96
127,98
128,128
129,130
130,132
131,134
132,136
133,138
134,140
135,141
136,143
137,145
138,147
139,149
140,151
141,153
142,155
143,157
144,187
145,189
146,191
147,193
148,195
149,197
150,199
151,200
152,202
153,204
154,206
155,208
156,210
157,212
158,214
159,216
160,225
161,227
162,229
163,231
164,233
165,235
166,237
167,238
168,240
169,242
170,244
171,246
172,248
173,250
174,252
175,254
176,244
177,246
178,248
179,250
180,252
181,254
182,255
183,255
184,255
185,255
186,255
187,255
188,255
189,255
190,255
191,255
192,251
193,251
194,251
195,251
196,251
197,251
198,251
199,251
200,252
201,252
202,252
203,252
204,252
205,252
206,252
207,252
208,254
209,254
210,254
211,254
212,254
213,254
214,254
215,254
216,255
217,255
218,255
219,255
220,255
221,255
222,255
223,255
224,255
225,255
226,255
227,255
228,255
229,255
230,255
231,255
232,255
233,255
234,255
235,255
236,255
237,255
238,255
239,255
240,255
241,255
242,255
243,255
244,255
245,255
246,255
247,255
248,255
249,255
250,255
251,255
252,255
253,255
254,255
255,255
