0,128
1,125
2,122
3,119
4,115
5,112
6,109
7,106
8,103
9,100
10,97
11,94
12,91
13,88
14,85
15,82
16,79
17,76
18,73
19,70
20,68
21,65
22,62
23,60
24,57
25,54
26,52
27,49
28,47
29,44
30,42
31,40
32,37
33,35
34,33
35,31
36,29
37,27
38,25
39,23
40,22
41,20
42,18
43,17
44,15
45,14
46,12
47,11
48,10
49,9
50,7
51,6
52,6
53,5
54,4
55,3
56,2
57,2
58,1
59,1
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,1
69,1
70,1
71,2
72,2
73,3
74,4
75,5
76,6
77,6
78,7
79,9
80,10
81,11
82,12
83,14
84,15
85,17
86,18
87,20
88,22
89,23
90,25
91,27
92,29
93,31
94,33
95,35
96,37
97,40
98,42
99,44
100,47
101,49
102,52
103,54
104,57
105,60
106,62
107,65
108,68
109,70
110,73
111,76
112,79
113,82
114,85
115,88
116,91
117,94
118,97
119,100
120,103
121,106
122,109
123,112
124,115
125,119
126,122
127,125
128,128
129,131
130,134
131,137
132,141
133,144
134,147
135,150
136,153
137,156
138,159
139,162
140,165
141,168
142,171
143,174
144,177
145,180
146,183
147,186
148,188
149,191
150,194
151,196
152,199
153,202
154,204
155,207
156,209
157,212
158,214
159,216
160,219
161,221
162,223
163,225
164,227
165,229
166,231
167,233
168,234
169,236
170,238
171,239
172,241
173,242
174,244
175,245
176,246
177,247
178,249
179,250
180,250
181,251
182,252
183,253
184,254
185,254
186,255
187,255
188,255
189,255
190,255
191,255
192,255
193,255
194,255
195,255
196,255
197,255
198,255
199,254
200,254
201,253
202,252
203,251
204,250
205,250
206,249
207,247
208,246
209,245
210,244
211,242
212,241
213,239
214,238
215,236
216,234
217,233
218,231
219,229
220,227
221,225
222,223
223,221
224,219
225,216
226,214
227,212
228,209
229,207
230,204
231,202
232,199
233,196
234,194
235,191
236,188
237,186
238,183
239,180
240,177
241,174
242,171
243,168
244,165
245,162
246,159
247,156
248,153
249,150
250,147
251,144
252,141
253,137
254,134
255,131
